Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min Salary,Max Salary,Competitor Count
Data Analyst - Unilever Prestige,$79K-$147K (Glassdoor est.),3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's",79000,147000.0,3
Data Scientist,$79K-$147K (Glassdoor est.),4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,79000,147000.0,0
"VP, Data Science",$79K-$147K (Glassdoor est.),3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,79000,147000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),4.0,"Netskope
4.0","Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",122000,146000.0,3
Data Scientist,$122K-$146K (Glassdoor est.),4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,122000,146000.0,0
Senior Business Intelligence Analyst,$122K-$146K (Glassdoor est.),3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),3.0,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),-1,122000,146000.0,0
Data Engineer - Kafka,$122K-$146K (Glassdoor est.),3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",122000,146000.0,2
Data Scientist,$122K-$146K (Glassdoor est.),2.9,"Shimento, Inc.
2.9","Santa Clara, CA","Benicia, CA",1 to 50 employees,,Company - Private,-1,-1,$1 to $5 million (USD),-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),5.0,"Averity
5.0","New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),4.7,"Praxis Engineering
4.7","Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton",122000,146000.0,3
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Point72 Ventures,"Palo Alto, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Decision Scientist,$122K-$146K (Glassdoor est.),4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",122000,146000.0,3
Data Scientist,$122K-$146K (Glassdoor est.),4.9,"Cambridge Mobile Telematics
4.9","Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,122000,146000.0,0
Data Science All Star Program - Data Engineer Track,$122K-$146K (Glassdoor est.),4.6,"Blend360
4.6","Columbia, MD","Columbia, MD",51 to 200 employees,2002,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,122000,146000.0,0
Data Scientist - TS/SCI FSP or CI Required,$122K-$146K (Glassdoor est.),5.0,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,122000,146000.0,0
Data Analyst,$122K-$146K (Glassdoor est.),3.9,"Nolij Consulting
3.9","Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public,Consulting,Business Services,$1 to $5 million (USD),-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Data Scientist,$122K-$146K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,122000,146000.0,0
Senior Data Scientist,$122K-$146K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,122000,146000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,112000,116000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",112000,116000.0,3
Data Scientist,$112K-$116K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,112000,116000.0,0
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$112K-$116K (Glassdoor est.),3.9,"Southwest Research Institute
3.9","Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",112000,116000.0,3
Data Scientist,$112K-$116K (Glassdoor est.),4.7,"Compass Consulting Group
4.7","Thousand Oaks, CA","Danville, CA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,112000,116000.0,0
Data Science Software Engineer,$112K-$116K (Glassdoor est.),4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,112000,116000.0,0
AI Ops Data Scientist,$112K-$116K (Glassdoor est.),4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",112000,116000.0,3
Data Scientist,$112K-$116K (Glassdoor est.),4.4,"SolutionIT, Inc.
4.4","Edison, NJ","Wilmington, MA",51 to 200 employees,,Company - Private,-1,-1,Unknown / Non-Applicable,-1,112000,116000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),3.2,"Perspecta
3.2","Adelphi, MD","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,112000,116000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),4.5,"Smith Hanley Associates
4.5","Washington, DC","New York, 061",1 to 50 employees,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Kforce, PageGroup, Robert Half",112000,116000.0,3
Scientist - Machine Learning,$112K-$116K (Glassdoor est.),3.5,"Allen Institute
3.5","Seattle, WA","Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,112000,116000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),4.4,"Eliassen Group
4.4","Plano, TX","Reading, MA",1001 to 5000 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"TEKsystems, Kforce, Randstad US",112000,116000.0,3
Data Scientist,$112K-$116K (Glassdoor est.),3.1,"Bayside Solutions
3.1","Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,112000,116000.0,0
Sr. Data Scientist,$112K-$116K (Glassdoor est.),3.5,"Evolve Vacation Rental
3.5","Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,112000,116000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),3.8,"AgreeYa Solutions
3.8","Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,112000,116000.0,0
Data Scientist,$112K-$116K (Glassdoor est.),3.7,"Carolina Power & Light Co
3.7","McLean, VA","Raleigh, NC",5001 to 10000 employees,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,"South Carolina Electric & Gas, Virginia Electric and Power",112000,116000.0,2
Analytics Manager - Data Mart,$112K-$116K (Glassdoor est.),3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,112000,116000.0,0
Data Modeler (Analytical Systems),$112K-$116K (Glassdoor est.),3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,112000,116000.0,0
Applied AI Scientist / Engineer,$112K-$116K (Glassdoor est.),5.0,"New Iron Group, Inc.
5.0","Boston, MA","Austin, TX",1 to 50 employees,2003,Contract,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,112000,116000.0,0
"Data Engineer (Analytics, SQL, Python, AWS)",$112K-$116K (Glassdoor est.),4.0,"Travelers
4.0","Hartford, CT","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,112000,116000.0,0
Senior Data Analyst - Finance & Platform Analytics,$112K-$116K (Glassdoor est.),3.6,"Twitch
3.6","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,-1,112000,116000.0,0
Senior Data Scientist,$110K-$163K (Glassdoor est.),4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,110000,163000.0,0
Market Research Data Scientist,$110K-$163K (Glassdoor est.),3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey",110000,163000.0,3
IT Partner Digital Health Technology and Data Science,$110K-$163K (Glassdoor est.),3.6,"Biogen
3.6","Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,110000,163000.0,0
Data Scientist,$110K-$163K (Glassdoor est.),-1.0,HireAi,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,110000,163000.0,0
Data Scientist,$110K-$163K (Glassdoor est.),-1.0,HireAi,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,110000,163000.0,0
"Senior Machine Learning Scientist - Bay Area, CA",$110K-$163K (Glassdoor est.),3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,110000,163000.0,0
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",$110K-$163K (Glassdoor est.),4.1,"Mentor Graphics
4.1","Fremont, CA","Wilsonville, OR",5001 to 10000 employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cadence Design Systems, Synopsys, Altium Limited",110000,163000.0,3
Senior Clinical Data Scientist Programmer,$110K-$163K (Glassdoor est.),3.6,"WCG (WIRB-Copernicus Group)
3.6","Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,110000,163000.0,0
Data Engineer,$110K-$163K (Glassdoor est.),4.5,"Kingfisher Systems
4.5","Falls Church, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),-1,110000,163000.0,0
Computer Vision / Deep Learning Scientist,$110K-$163K (Glassdoor est.),3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,110000,163000.0,0
Data Solutions Engineer - Data Modeler,$110K-$163K (Glassdoor est.),3.4,"Liberty Mutual Insurance
3.4","Indianapolis, IN","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",110000,163000.0,3
Data Scientist,$110K-$163K (Glassdoor est.),4.3,"Visionary Integration Professionals
4.3","Washington, DC","Folsom, CA",501 to 1000 employees,1996,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"CGI (Nevada), Accenture, Deloitte",110000,163000.0,3
Data Scientist (TS/SCI w/ Poly),$110K-$163K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,110000,163000.0,0
Weapons and Sensors Engineer/Scientist,$110K-$163K (Glassdoor est.),4.0,"Dynetics
4.0","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,110000,163000.0,0
Applied Computer Scientist,$110K-$163K (Glassdoor est.),4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,110000,163000.0,0
Senior Data Analyst,$110K-$163K (Glassdoor est.),4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",110000,163000.0,3
Cloud Data Engineer (Azure),$110K-$163K (Glassdoor est.),3.9,"Navy Federal Credit Union
3.9","Merrifield, VA","Vienna, VA",10000+ employees,1933,Other Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,110000,163000.0,0
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",$110K-$163K (Glassdoor est.),4.0,"Exact Sciences Corporation
4.0","Madison, WI","Madison, WI",1001 to 5000 employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,110000,163000.0,0
Sr. Data Analyst,$110K-$163K (Glassdoor est.),3.6,"Community Behavioral Health
3.6","Philadelphia, PA","Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,110000,163000.0,0
Senior Scientist - Toxicologist - Product Integrity (Stewardship),$110K-$163K (Glassdoor est.),3.3,"Reynolds American
3.3","Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,110000,163000.0,0
Senior Machine Learning Engineer,$110K-$163K (Glassdoor est.),5.0,"LifeOmic
5.0","Raleigh, NC","Indianapolis, IN",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110000,163000.0,0
Product Data Scientist - Ads Data Science,$124K-$198K (Glassdoor est.),4.1,"Twitter
4.1","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",124000,198000.0,3
Data Scientist,$124K-$198K (Glassdoor est.),3.2,"Postmates - Corporate HQ
3.2","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub",124000,198000.0,3
Data Scientist,$124K-$198K (Glassdoor est.),4.9,"Visionist, Inc.
4.9","Columbia, MD","Columbia, MD",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),-1.0,Navio,"San Mateo, CA","Half Moon Bay, CA",Unknown,,Unknown,-1,-1,Unknown / Non-Applicable,-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),3.3,"Concerto HealthAI
3.3","Boston, MA","Boston, MA",201 to 500 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),-1.0,Evolvinc,"Burbank, CA","Los Angeles, CA",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),5.0,"PROPRIUS
5.0","Sunnyvale, CA","London, United Kingdom",1 to 50 employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),3.4,"TECHNOCRAFT Solutions
3.4","San Ramon, CA","Hilliard, OH",1 to 50 employees,,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),4.1,"Latitude, Inc.
4.1","Washington, DC","Hanover, MD",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),5.0,"Royce Geospatial
5.0","Springfield, VA","Arlington, VA",51 to 200 employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),4.2,"CyberCoders
4.2","Phoenix, AZ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),3.7,"Booz Allen Hamilton Inc.
3.7","Oxnard, CA","Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC",124000,198000.0,3
Data Scientist,$124K-$198K (Glassdoor est.),3.8,"Burns & McDonnell
3.8","Kansas City, MO","Kansas City, MO",5001 to 10000 employees,1898,Company - Private,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),"Bechtel Jacobs, Black & Veatch, HNTB",124000,198000.0,3
Data Scientist,$124K-$198K (Glassdoor est.),4.8,"InvenTech Info
4.8","Jersey City, NJ","Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),3.5,"Robert Half
3.5","Manchester, NH","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",124000,198000.0,2
Analytics - Business Assurance Data Analyst,$124K-$198K (Glassdoor est.),4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),4.5,"Conflux Systems Inc.
4.5","Winters, TX","Alpharetta, GA",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),3.9,"Criteo
3.9","Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",124000,198000.0,3
Data Scientist,$124K-$198K (Glassdoor est.),3.4,"Voice
3.4","Brooklyn, NY",-1,Unknown,,Company - Private,-1,-1,Unknown / Non-Applicable,-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),-1.0,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,124000,198000.0,0
Data Scientist,$124K-$198K (Glassdoor est.),4.1,"Coverent
4.1","McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,124000,198000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),3.7,"Via Transportation
3.7","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,79000,133000.0,0
Senior Data Scientist,$79K-$133K (Glassdoor est.),3.5,"Benson Hill
3.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),4.6,"Conch Technologies, Inc
4.6","Concord, CA","Memphis, TN",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),-1.0,Falcon IT & Staffing Solutions,"Fort Belvoir, VA","Washington, DC",Unknown,,Company - Public,-1,-1,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),-1.0,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH",1 to 50 employees,,Company - Private,-1,-1,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Engineer,$79K-$133K (Glassdoor est.),4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),3.6,"DataLab USA
3.6","Germantown, MD","Germantown, MD",51 to 200 employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Acxiom, Merkle, Epsilon (North Carolina)",79000,133000.0,3
Data Scientist,$79K-$133K (Glassdoor est.),3.1,"Werner Enterprises Inc
3.1","Omaha, NE","Omaha, NE",10000+ employees,1956,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$2 to $5 billion (USD),-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),5.0,"PeopleCom
5.0","McLean, VA","Reston, VA",1 to 50 employees,,Company - Private,-1,-1,$1 to $5 million (USD),-1,79000,133000.0,0
Data Scientist - Machine Learning,$79K-$133K (Glassdoor est.),5.0,"VANTA Partners
5.0","Open Fork, VA","Clifton Park, NY",1 to 50 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),-1.0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),-1.0,"Blue Icy Water, LLC",United States,"Livonia, MI",1 to 50 employees,,Company - Private,-1,-1,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),3.5,"Farmer's Business Network, Inc.
3.5","San Carlos, CA","San Carlos, CA",201 to 500 employees,2014,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),-1.0,Sonde Health,"Boston, MA","Boston, MA",1 to 50 employees,,Private Practice / Firm,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),5.0,"Maxiom
5.0","Ashburn, VA","Ashburn, VA",1 to 50 employees,,Company - Public,-1,-1,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),2.7,"Change Healthcare
2.7","Lombard, IL","Nashville, TN",10000+ employees,2007,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),4.1,"DCS Corp
4.1","Hampton, VA","Alexandria, VA",1001 to 5000 employees,1977,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,79000,133000.0,0
Data Scientist,$79K-$133K (Glassdoor est.),2.1,"Hive (CA)
2.1","San Francisco, CA","Los Angeles, CA",Unknown,2019,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1,79000,133000.0,0
Machine Learning Engineer/Scientist,$79K-$133K (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,79000,133000.0,0
Data Scientist - Intermediate,$69K-$116K (Glassdoor est.),4.5,"Envision LLC
4.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,69000,116000.0,0
Principal Data Scientist,$69K-$116K (Glassdoor est.),4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),3.3,"Hackensack Meridian Health
3.3","Edison, NJ","Edison, NJ",10000+ employees,,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),-1,69000,116000.0,0
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$69K-$116K (Glassdoor est.),3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),3.2,"Net2Source Inc.
3.2","Alpharetta, GA","Somerset, NJ",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),3.2,"The Trade Desk
3.2","Boulder, CO","Ventura, CA",1001 to 5000 employees,2009,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,69000,116000.0,0
